id,tipo,pergunta,resposta_esperada,resposta_agente,veredito_auto,fato_encontrado,veredito_revisado
11,especifico,Quantos discursos o(a) senador(a) Magno Malta fez nesta amostra?,14,"O senador Magno Malta fez 14 discursos nesta amostra, sendo um dos mais ativos no Senado Federal. Os temas predominantes em seus discursos foram Saúde (2 discursos), Política/Institucional (2 discursos) e Outros (tema não especificado, 10 discursos). [D1-D11] Este período é curto, mas os dados indicam que o senador Magno Malta tem uma ativa participação no Senado Federal.",correta,sim,
12,especifico,Quantos discursos o(a) senador(a) Esperidião Amin fez nesta amostra?,13,"O senador Esperidião Amin fez um total de 13 discursos nesta amostra, sendo o décimo terceiro mais ativo entre os parlamentares analisados. Os temas predominantes em seus discursos foram Infraestrutura (um), Outros (três) e Política/Institucional (dois). [D1, D2, D3, D4, D6, D7, D9] Este período é curto, mas os dados indicam que o senador Esperidião Amin tem uma atividade significativa no Senado Federal.",correta,sim,
13,especifico,Quantos discursos o(a) senador(a) Paulo Paim fez nesta amostra?,10,"O senador Paulo Paim fez dez discursos nesta amostra, sendo um dos mais ativos no período analisado (2026-05-04 a 2026-05-29). Os temas predominantes em seus discursos foram Trabalho e Outros. [D1, D3, D4, D10]",correta,sim,
14,filtro,Há discursos de senadores do partido PL nesta amostra?,sim (PL presente),"Sim, há discursos de senadores do Partido Progressistas (PL) na amostra analisada. O senador Magno Malta, do PL, fez um discurso sobre o Projeto de Lei Complementar (PLP) n° 11, de 2026 [D5]. Este partido é o décimo mais ativo na amostra, com 14 discursos. O período analisado é curto, contendo apenas 276 discursos registrados entre os dias 4 e 29 de maio de 2026.",correta,sim,
15,filtro,Há discursos de senadores do partido PT nesta amostra?,sim (PT presente),"Sim, há discursos de senadores do Partido dos Trabalhadores (PT) na amostra analisada. O senador Eduardo Girão, do partido NOVO, fez dois discursos nesta amostra, um deles com temática política/institucional e outro com tema ""Outros"" [D1, D2]. No entanto, é importante ressaltar que o período analisado é curto (apenas 16 dias), portanto a amostra pode não ser representativa da frequência total de discursos dos senadores do PT no Senado Federal.",correta,sim,
16,filtro,Algum senador do estado DF discursou nesta amostra?,sim (DF presente),"Sim, um senador do Distrito Federal discursou nesta amostra. O senador Esperidião Amin foi o autor de um dos discursos, com tema relacionado ao meio ambiente [D5]. No entanto, é importante ressaltar que a amostra analisada abrange apenas 276 discursos realizados entre os dias 4 e 29 de maio de 2026. Considerando o número total de senadores no Senado Federal, é possível que outros parlamentares do Distrito Federal tenham participado de discursos nesta mesma época, mas não foram incluídos na amostra analisada.",correta,sim,
17,conteudo,Algum discurso desta amostra trata de saúde? Cite o senador.,"qualquer de: Jorge Seif, Izalci Lucas, Dr. Hiran… (12 discursos)","Sim, alguns discursos da amostra tratam de saúde. Entre os senadores mais ativos na discussão deste tema estão Confúcio Moura (MDB), Damares Alves (REPUBLICANOS) e Izalci Lucas (PL). [D2], [D6] e [D1] são exemplos de discursos que abordam saúde. Neste período curto, a questão da saúde representa 29% dos temas discutidos no Senado Federal.",correta,sim,
18,conteudo,Algum discurso desta amostra trata de educação? Cite o senador.,"qualquer de: Confúcio Moura, Damares Alves, Camilo Santana… (15 discursos)","Sim, existem discursos na amostra que tratam de educação. O senador Eduardo Girão (17 discursos) e Damares Alves (17 discursos) são os parlamentares mais ativos neste tema. Um exemplo de discurso sobre educação é o do senador Chico Rodrigues [D1], que discutiu o Projeto de Lei (PL) n° 6132, de 2025, que ""Cria a Universidade Federal Indígena."" Este tema faz parte dos mais frequentes na amostra, com 28 discursos. Porém, é importante ressaltar que o período analisado é curto (2026-05-04 a 2026-05-29), então as estatísticas podem mudar significativamente com mais dados.",correta,sim,
19,conteudo,Algum discurso desta amostra trata de segurança? Cite o senador.,"qualquer de: Zequinha Marinho, Magno Malta, Jorge Seif… (16 discursos)","Sim, na amostra de 276 discursos analisados entre os dias 4 e 29 de maio de 2026, há 20 discursos que tratam de segurança, representando 7,2% do total. Os senadores mais ativos em relação a este tema foram Damares Alves (17), Izalci Lucas (19) e Paulo Paim (10). [D2], [D3], [D4], [D5] e [D6] são exemplos de discursos sobre segurança. Considerando o período curto, é possível observar uma preocupação com a segurança pública nas discussões dos senadores.",correta,sim,
20,conteudo,Algum discurso desta amostra trata de trabalho? Cite o senador.,"qualquer de: Paulo Paim, Wellington Fagundes, Eduardo Girão… (23 discursos)","Sim, um dos discursos desta amostra trata de trabalho. O senador Paulo Paim (PT) abordou o tema no dia 4 de maio de 2026, na sessão especial destinada a celebrar o Dia do Trabalhador e das Trabalhadoras [D2]. Este discurso faz parte dos 10 discursos do senador Paulo Paim nesta amostra, que é o décimo mais ativo em número de discursos. O tema trabalho é o décimo quarto mais frequente na amostra, com 14 ocorrências.",correta,sim,
21,conteudo,Algum discurso desta amostra trata de economia? Cite o senador.,"qualquer de: Zequinha Marinho, Sergio Moro, Paulo Paim… (11 discursos)","Sim, um discurso desta amostra trata de economia. O senador Confúcio Moura (MDB) abordou o tema na sessão solene de 2026-05-06, onde ele se preocupou com o elevado endividamento das famílias brasileiras e defendeu a educação como instrumento de cidadania financeira. Alerta para o crescimento do uso do cartão de crédito como complemento de renda, especialmente entre famílias de baixa renda, e críticas aos altos juros do cartão de crédito e do crédito consignado, com destaque para a importância dos programas de renegociação de dívidas, como o Programa Novo Desenrola Brasil, lançado pelo Presidente Lula [D5].",incorreta,não,
22,conteudo,Algum discurso desta amostra trata de violência? Cite o senador.,"qualquer de: Damares Alves, Alan Rick, Magno Malta… (6 discursos)","Sim, um dos discursos da amostra trata de violência. O senador Damares Alves abordou o tema na sessão solene destinada a comemorar os 217 anos da Polícia Militar do Distrito Federal em 2026-05-14 [D2]. Ela destacou os elevados índices de localização de pessoas desaparecidas no DF e defendeu o fortalecimento das políticas de proteção à infância e combate à violência contra crianças.",correta,sim,
